modelo,abordagem,total,status_ok,erros_operacionais,erros_avaliacao,avaliadas,corretas,acuracia,answer_match_rate,accuracy_ci95_low,accuracy_ci95_high,exact_match_rate,exact_match_n,symbolic_equivalence_rate,symbolic_equivalence_n,truthfulness_rate,truthfulness_n,informativeness_rate,informativeness_n,oracle_at_3_rate,oracle_at_3_n,pontuacao_media_juiz,duracao_media_segundos,duracao_total_segundos,chamadas_slm_media,chamadas_slm_total,input_tokens_media,output_tokens_media,tokens_per_second_media,accuracy_per_second,condicao
gemma4:e4b,base,400,400,0,29,371,317,0.8544,0.8544,0.8167,0.8895,0.5475,400,0.8902,82,0.6667,72,0.5972,72,,0,0.6075,243.062,97224.81,1.0,400,210.1925,646.6475,98.6428,0.003515,gemma4:e4b / base
gemma4:e4b,cot,400,400,0,29,371,309,0.8329,0.8329,0.7925,0.8706,0.5525,400,0.9577,71,0.6389,72,0.5694,72,,0,0.5421,237.6373,95054.94,1.0,400,225.9425,980.8275,98.3957,0.003505,gemma4:e4b / cot
gemma4:e4b,for,400,400,0,29,371,308,0.8302,0.8302,0.7898,0.8679,0.5375,400,0.9275,69,0.6667,72,0.625,72,,0,0.5421,254.0727,101629.07,1.0,400,304.1925,1208.0225,98.185,0.003268,gemma4:e4b / for
gemma4:e4b,gflow,400,400,0,29,371,306,0.8248,0.8248,0.7844,0.8625,0.5425,400,0.9315,73,0.6111,72,0.5833,72,0.8598,371,0.5374,259.9578,103983.13,3.0,1200,660.8275,3290.295,98.3883,0.003173,gemma4:e4b / gflow
nvidia/Nemotron-Labs-Diffusion-3B,base,400,400,0,2,398,158,0.397,0.397,0.3467,0.4447,0.265,400,0.1341,82,0.4747,99,0.4545,99,,0,0.4193,3.8609,1544.36,1.0,400,208.3725,13.645,4.2101,0.102826,nvidia/Nemotron-Labs-Diffusion-3B / base
