modelo,dataset,abordagem,total,status_ok,erros_operacionais,erros_avaliacao,avaliadas,corretas,acuracia,answer_match_rate,accuracy_ci95_low,accuracy_ci95_high,exact_match_rate,exact_match_n,symbolic_equivalence_rate,symbolic_equivalence_n,truthfulness_rate,truthfulness_n,informativeness_rate,informativeness_n,oracle_at_3_rate,oracle_at_3_n,pontuacao_media_juiz,duracao_media_segundos,duracao_total_segundos,chamadas_slm_media,chamadas_slm_total,input_tokens_media,output_tokens_media,tokens_per_second_media,accuracy_per_second,delta_acuracia_vs_base,gain_per_extra_call,condicao
gemma4:e4b,ARC-Challenge,gflow,100,100,0,0,100,95,0.95,0.95,0.9,0.99,0.95,100,,0,,0,,0,0.99,100,1.0,146.4758,14647.58,3.0,300,678.47,1738.3,98.6389,0.006486,-0.02,-0.01,gemma4:e4b / gflow
gemma4:e4b,EleutherAI/hendrycks_math,gflow,100,100,0,1,99,76,0.7677,0.7677,0.6768,0.8485,0.5,100,0.9315,73,,0,,0,0.798,99,0.3636,590.1322,59013.22,3.0,300,747.8,7416.22,98.7706,0.001301,-0.0505,-0.02525,gemma4:e4b / gflow
gemma4:e4b,GSM8K,gflow,100,100,0,0,100,92,0.92,0.92,0.87,0.97,0.71,100,,0,,0,,0,0.93,100,1.0,154.1841,15418.41,3.0,300,679.4,2156.84,97.7401,0.005967,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,truthfulqa/truthful_qa,gflow,100,100,0,28,72,43,0.5972,0.5972,0.4861,0.7083,0.01,100,,0,0.6111,72,0.5833,72,0.6667,72,0.6042,149.0392,14903.92,3.0,300,537.64,1849.82,98.4036,0.004007,-0.0556,-0.0278,gemma4:e4b / gflow
