dataset,modelo_referencia,modelo_comparado,n_pareado,wins_modelo_comparado,ties,losses_modelo_comparado,win_rate_modelo_comparado,tie_rate,loss_rate_modelo_comparado,delta_pareado_comparado_menos_referencia,delta_ci95_low,delta_ci95_high,mcnemar_p_exato,mcnemar_p_holm
ARC-Challenge,gemma4:e4b,nvidia/Nemotron-Labs-Diffusion-3B,100,1,84,15,0.01,0.84,0.15,-0.14,-0.22,-0.07,0.000519,0.001038
EleutherAI/hendrycks_math,gemma4:e4b,nvidia/Nemotron-Labs-Diffusion-3B,98,1,28,69,0.0102,0.2857,0.7041,-0.6939,-0.7857,-0.5918,0.0,0.0
GSM8K,gemma4:e4b,nvidia/Nemotron-Labs-Diffusion-3B,100,0,27,73,0.0,0.27,0.73,-0.73,-0.81,-0.64,0.0,0.0
truthfulqa/truthful_qa,gemma4:e4b,nvidia/Nemotron-Labs-Diffusion-3B,72,5,45,22,0.0694,0.625,0.3056,-0.2361,-0.3611,-0.1111,0.001514,0.001514
