modelo,dataset,abordagem,total,status_ok,erros_operacionais,erros_avaliacao,avaliadas,corretas,acuracia,answer_match_rate,accuracy_ci95_low,accuracy_ci95_high,exact_match_rate,exact_match_n,symbolic_equivalence_rate,symbolic_equivalence_n,truthfulness_rate,truthfulness_n,informativeness_rate,informativeness_n,oracle_at_3_rate,oracle_at_3_n,pontuacao_media_juiz,duracao_media_segundos,duracao_total_segundos,chamadas_slm_media,chamadas_slm_total,input_tokens_media,output_tokens_media,tokens_per_second_media,accuracy_per_second,delta_acuracia_vs_base,gain_per_extra_call,condicao
gemma4:e4b,ARC-Challenge,gflow,10,10,0,0,10,9,0.9,0.9,0.7,1.0,0.9,10,,0,,0,,0,1.0,10,,160.954,1609.54,3.0,30,722.6,1733.8,89.4517,0.005592,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,EleutherAI/hendrycks_math,gflow,10,10,0,0,10,7,0.7,0.7,0.4,1.0,0.6,10,1.0,6,,0,,0,0.7,10,0.25,615.784,6157.84,3.0,30,663.5,7317.4,89.6511,0.001137,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,GSM8K,gflow,10,10,0,0,10,10,1.0,1.0,1.0,1.0,0.8,10,,0,,0,,0,1.0,10,,142.436,1424.36,3.0,30,674.9,2016.3,90.15,0.007021,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,truthfulqa/truthful_qa,gflow,10,10,0,0,10,6,0.6,0.6,0.3,0.9,0.0,10,,0,0.625,8,0.625,8,0.6,10,0.6,153.823,1538.23,3.0,30,530.5,1812.7,93.0502,0.003901,0.0,0.0,gemma4:e4b / gflow
