modelo,abordagem,total,status_ok,erros_operacionais,erros_avaliacao,avaliadas,corretas,acuracia,answer_match_rate,accuracy_ci95_low,accuracy_ci95_high,exact_match_rate,exact_match_n,symbolic_equivalence_rate,symbolic_equivalence_n,truthfulness_rate,truthfulness_n,informativeness_rate,informativeness_n,oracle_at_3_rate,oracle_at_3_n,pontuacao_media_juiz,duracao_media_segundos,duracao_total_segundos,chamadas_slm_media,chamadas_slm_total,input_tokens_media,output_tokens_media,tokens_per_second_media,accuracy_per_second,condicao
gemma4:e4b,base,40,40,0,0,40,32,0.8,0.8,0.675,0.925,0.5,40,0.75,8,0.625,8,0.625,8,,0,0.5714,182.4655,7298.62,1.0,40,205.875,701.8,89.8271,0.004384,gemma4:e4b / base
gemma4:e4b,cot,40,40,0,0,40,33,0.825,0.825,0.7,0.925,0.575,40,1.0,6,0.625,8,0.625,8,,0,0.5,209.5972,8383.89,1.0,40,221.625,970.975,90.0559,0.003936,gemma4:e4b / cot
gemma4:e4b,for,40,40,0,0,40,31,0.775,0.775,0.65,0.9,0.55,40,0.8333,6,0.5,8,0.625,8,,0,0.4643,204.2733,8170.93,1.0,40,299.875,1190.8,89.7703,0.003794,gemma4:e4b / for
gemma4:e4b,gflow,40,40,0,0,40,32,0.8,0.8,0.675,0.925,0.575,40,1.0,6,0.625,8,0.625,8,0.825,40,0.5,268.2492,10729.97,3.0,120,647.875,3220.05,90.5757,0.002982,gemma4:e4b / gflow
nvidia/Nemotron-Labs-Diffusion-3B,base,40,40,0,0,40,14,0.35,0.35,0.2,0.5,0.25,40,0.125,8,0.4,10,0.6,10,,0,0.3636,4.8857,195.43,1.0,40,205.175,15.575,3.5083,0.071638,nvidia/Nemotron-Labs-Diffusion-3B / base
